N,P,K,temperature,humidity,ph,label
82,40,40,23.83067,84.8136,6.271479,1
85,52,45,26.31355,82.36699,7.224286,1
91,35,38,24.89728,80.52586,6.134287,1
76,49,42,24.95878,84.47963,5.206373,1
74,39,38,23.24114,84.59202,7.782051,1
79,43,39,21.66628,80.70961,7.062779,1
88,55,45,24.63545,80.41363,7.730368,1
60,36,43,23.43122,83.0631,5.286204,1
76,60,39,20.04541,80.34776,6.76624,1
93,56,42,23.85724,82.22573,7.382763,1
65,60,43,21.97199,81.89918,5.658169,1
95,52,36,26.22917,83.83626,5.54336,1
75,38,39,23.44677,84.79352,6.21511,1
74,54,38,25.65553,83.47021,7.120273,1
91,36,45,24.44345,82.45433,5.950648,1
71,46,40,20.28019,82.12354,7.236705,1
99,55,35,21.72383,80.23899,6.501698,1
72,40,38,20.41447,82.20803,7.592491,1
83,58,45,25.75529,83.51827,5.875346,1
93,58,38,20.61521,83.77346,6.9324,1
70,36,42,21.84107,80.72886,6.94621,1
76,47,42,20.0837,83.29115,5.739175,1
99,41,36,24.45802,82.74836,6.738652,1
99,54,37,21.14347,80.33503,5.59482,1
86,59,35,25.78721,82.11124,6.946636,1
69,46,41,23.64125,80.28598,5.01214,1
91,56,37,23.43192,80.56888,6.363472,1
61,52,41,24.9767,83.89181,6.880431,1
67,45,38,22.72791,82.17069,7.300411,1
79,42,37,24.87301,82.84023,6.587919,1
78,43,42,21.32376,83.0032,7.283737,1
75,54,36,26.29465,84.56919,7.023936,1
97,36,45,22.2287,81.85873,6.939084,1
67,47,44,26.73072,81.78597,7.868475,1
73,35,38,24.88921,81.97927,5.005307,1
77,36,37,26.88445,81.46034,6.136132,1
81,41,38,22.67846,83.72874,7.52408,1
68,57,43,26.08868,80.3798,5.706943,1
72,45,35,25.42978,82.94683,5.758506,1
61,53,43,26.40323,81.05636,6.349606,1
67,43,39,26.04372,84.96907,5.999969,1
67,58,39,25.28272,80.54373,5.453592,1
66,60,38,22.08577,83.47038,6.372576,1
82,43,38,23.28617,81.43322,5.105588,1
84,50,44,25.48592,81.40634,5.935344,1
81,53,42,23.67575,81.03569,5.177823,1
91,50,40,20.82477,84.13419,6.462392,1
93,53,38,26.92995,81.91411,7.069172,1
90,44,38,23.8351,83.88387,7.473134,1
81,45,35,26.52873,80.12267,6.158377,1
78,40,38,26.46428,83.85643,7.549874,1
60,51,36,22.69658,82.81089,6.028322,1
88,46,42,22.68319,83.46358,6.604993,1
93,47,37,21.53346,82.14004,6.500343,1
60,55,45,21.40866,83.32932,5.935745,1
78,35,44,26.54348,84.67354,7.072656,1
65,37,40,23.35905,83.59512,5.333323,1
71,54,16,22.6136,63.69071,5.749914,2
61,44,17,26.10018,71.57477,6.931757,2
80,43,16,23.55882,71.59351,6.657965,2
73,58,21,19.97216,57.68273,6.596061,2
61,38,20,18.47891,62.69504,5.970458,2
68,41,16,21.77689,57.80841,6.158831,2
93,41,17,25.62172,66.50415,6.047907,2
89,60,19,25.19192,66.69029,5.913665,2
76,44,17,20.41683,62.55425,5.855442,2
67,60,25,24.92162,66.78627,5.750255,2
70,44,19,23.31689,73.45415,5.852607,2
90,49,21,24.84017,68.35846,6.472523,2
62,52,16,22.27527,58.84016,6.967058,2
92,44,16,18.87751,65.76816,6.082974,2
66,54,21,25.19009,60.20017,5.919046,2
63,58,22,18.25405,55.2822,6.204748,2
70,47,17,24.61291,70.41624,6.600827,2
61,41,17,25.14206,65.26185,6.021902,2
66,53,19,23.09348,60.11594,6.03355,2
74,55,19,18.05034,62.89367,6.288868,2
77,57,21,24.93216,73.80435,6.550564,2
99,50,15,18.1471,71.09445,5.573286,2
74,56,22,18.28362,66.65953,6.829199,2
83,45,21,18.83344,58.75082,5.716223,2
100,48,16,25.71896,67.22191,5.549902,2
79,51,16,25.33798,68.49836,6.586245,2
94,39,18,23.89115,57.48776,5.893093,2
75,49,15,21.53574,71.50906,5.918264,2
78,48,22,23.08975,63.1046,5.588651,2
87,54,20,25.61707,63.47118,6.576418,2
87,35,25,21.44527,63.16216,6.178056,2
63,43,19,18.51817,55.53128,6.641906,2
84,57,25,22.53511,67.99257,6.48904,2
64,35,23,23.02038,61.89472,5.680361,2
60,46,22,24.89365,65.61419,6.625404,2
98,44,21,25.77175,74.08911,6.524478,2
75,56,18,19.39852,62.35751,5.696205,2
86,55,21,21.54156,59.64024,6.803932,2
98,35,18,23.79746,74.82914,6.252798,2
76,57,18,18.98027,74.52601,6.092726,2
99,56,17,24.10859,73.13112,6.23433,2
60,44,23,24.79471,70.04557,5.72258,2
74,48,17,21.63163,60.27766,6.430616,2
89,60,17,25.37549,57.21026,5.983953,2
69,51,23,22.21738,72.85463,6.801639,2
96,46,22,20.58314,69.00129,6.499936,2
61,60,15,24.87503,68.74248,6.265564,2
74,58,18,20.03728,56.35607,6.727303,2
74,43,23,25.95263,61.89082,6.325235,2
63,43,17,19.2889,65.47051,6.807488,2
99,36,20,20.57982,65.34584,6.671086,2
77,36,23,24.71418,56.73426,6.648725,2
87,60,23,20.27317,63.91282,6.439072,2
60,38,17,18.41933,64.2358,6.474477,2
94,54,17,23.39128,61.74427,5.871648,2
95,38,22,19.84939,61.245,5.730617,2
84,44,21,21.86927,61.91045,5.85044,2
77,58,19,22.8056,56.50769,5.79165,2
66,44,20,19.07815,69.02299,6.740001,2
63,35,16,22.02721,65.3555,6.272418,2
79,45,20,23.80546,59.24538,5.715209,2
72,60,25,18.52511,69.02762,5.773455,2
67,51,24,23.50298,61.32026,5.584171,2
86,36,24,26.54986,72.89187,5.787268,2
76,48,18,19.29563,69.63481,5.775978,2
75,53,18,20.689,59.43753,6.864794,2
81,45,23,19.32666,68.03449,6.19236,2
73,45,21,24.60532,73.58869,6.636803,2
71,35,24,22.27374,59.52193,5.826427,2
96,54,22,25.70197,61.3345,6.960358,2
99,39,18,19.20129,68.30579,6.112751,2
62,48,20,21.70181,60.47471,6.708447,2
86,37,16,20.51717,59.21235,5.561511,2
94,50,19,23.30355,73.62548,5.873242,2
76,39,24,24.25475,55.6471,6.995844,2
77,52,17,24.86375,65.742,5.7148,2
74,39,23,22.62651,65.77473,6.780736,2
81,49,20,18.04186,60.61494,5.513698,2
63,42,21,23.26238,72.33126,5.798424,2
99,38,21,22.88331,71.59722,6.352472,2
90,52,25,25.97482,69.36386,6.822587,2
68,40,19,26.14384,66.2057,6.655426,2
60,57,24,18.66116,61.55327,6.121294,2
71,52,18,25.10787,55.97733,5.79077,2
61,59,17,23.33845,59.24581,6.474443,2
88,38,15,25.0824,65.92196,6.455117,2
65,60,22,25.36768,72.52055,6.606984,2
78,37,22,25.34217,63.31802,6.330554,2
78,58,15,25.00933,67.81657,6.528631,2
92,60,23,18.66747,71.51647,5.721667,2
79,59,17,20.38,63.7385,6.644205,2
91,55,15,18.093,72.61024,6.376651,2
76,51,18,26.16986,71.96247,6.24704,2
87,48,25,18.65397,61.3788,6.65673,2
71,60,22,26.0747,59.37148,6.204802,2
90,57,24,18.92852,72.80086,6.15886,2
67,35,22,23.30547,63.24648,6.385684,2
60,54,19,18.74827,62.49878,6.41782,2
83,58,23,19.74213,59.66263,6.381202,2
83,57,19,25.73044,70.74739,6.877869,2
19,55,20,27.43329,87.80508,7.185301,3
8,54,20,28.33404,80.77276,7.034214,3
36,55,20,27.0147,84.34263,6.635969,3
10,56,16,28.17433,81.04555,6.828187,3
22,56,17,29.87888,87.32761,6.89078,3
9,57,24,29.89233,89.71503,7.165121,3
34,59,23,28.56212,83.24856,6.935804,3
31,51,25,27.53593,85.57019,7.196774,3
0,49,18,29.68362,87.93598,6.990095,3
21,39,20,28.14449,82.1193,7.064782,3
28,35,22,29.53038,86.73346,7.156563,3
17,52,17,27.88353,86.45148,6.364967,3
24,42,23,28.22471,82.35916,6.428054,3
28,46,16,29.00812,84.96089,6.664188,3
21,38,21,29.75539,86.45193,6.637677,3
34,60,25,29.78417,85.16907,6.793856,3
19,53,22,27.86401,80.45131,6.852885,3
31,58,15,27.11026,84.96772,7.121571,3
19,35,24,27.1103,83.64274,6.883308,3
24,53,17,28.95451,89.07866,6.421271,3
13,47,20,29.2178,87.93724,6.544502,3
31,53,16,28.74201,85.81676,6.452006,3
28,45,23,29.65021,80.29868,6.489259,3
31,37,21,27.23925,86.40424,6.713411,3
33,60,15,28.95172,81.67085,6.510841,3
34,45,21,28.18837,82.6063,6.28738,3
13,57,25,28.30041,86.20682,6.863086,3
33,57,17,27.89636,88.71782,6.784153,3
32,57,22,28.68999,87.50437,6.769416,3
23,59,25,27.82626,88.731,6.320768,3
35,41,18,28.70563,81.59201,6.705009,3
6,48,24,28.63628,84.61431,6.790736,3
29,36,25,28.28512,88.4394,7.130279,3
4,36,22,27.60887,86.13316,7.01274,3
10,59,22,28.60901,86.99496,7.155685,3
14,48,21,29.24599,84.80084,6.991242,3
8,50,21,28.62911,89.11481,6.218924,3
20,40,15,29.57329,88.07506,7.199495,3
36,43,22,27.82684,87.16679,6.389882,3
14,57,15,29.8757,83.14796,6.623438,3
11,60,23,27.33684,88.50229,7.033013,3
10,59,15,29.8304,89.30428,6.324005,3
7,60,25,28.27532,82.76021,6.397637,3
2,47,15,29.8686,85.99128,6.401456,3
20,45,22,29.58882,89.99397,6.904587,3
2,39,15,28.0722,82.91165,6.478557,3
27,40,24,27.84027,89.99616,7.063022,3
35,48,15,27.10818,87.45127,6.981758,3
4,59,25,27.68515,81.94269,6.227134,3
1,48,24,29.34595,85.60473,6.232837,3
36,43,21,28.36319,84.85936,7.140438,3
11,46,24,27.6528,89.80651,6.459252,3
34,47,19,27.31373,85.44815,6.568795,3
21,44,18,27.0691,86.89934,7.128511,3
17,58,20,28.06643,85.91625,6.429379,3
25,40,21,27.73329,81.13903,6.248901,3
2,38,18,27.53633,89.92908,6.619891,3
9,48,20,29.66462,84.28188,6.377569,3
37,49,25,29.91454,85.85384,6.41546,3
36,38,15,28.36364,87.59811,6.320662,3
40,58,15,29.46416,87.6089,6.9784,3
30,44,16,29.73013,82.89166,6.442336,3
1,59,23,27.46853,87.17649,7.184399,3
9,48,22,27.77076,87.0998,6.402926,3
14,41,17,29.1294,88.48313,7.085982,3
35,52,19,27.10607,89.89593,6.698574,3
31,48,17,28.88079,86.94207,6.594739,3
4,41,20,28.14721,83.80015,6.647966,3
30,37,25,29.89129,80.14487,7.120032,3
9,35,20,27.41503,80.98005,6.913809,3
20,41,20,29.27309,89.4875,7.073048,3
37,50,23,29.65297,88.48587,6.530471,3
34,35,21,28.44525,82.6764,6.684381,3
14,37,15,27.96236,83.97587,6.581351,3
23,39,22,29.25649,81.97952,6.864839,3
5,45,21,28.36291,88.00989,6.487124,3
22,37,20,27.62749,86.49367,6.605733,3
40,51,17,28.66086,86.12195,6.860603,3
27,56,20,29.21142,87.11498,6.418743,3
31,40,22,29.40889,86.16063,6.365514,3
38,36,21,28.02953,84.88457,6.556373,3
6,37,17,28.08657,80.35006,6.760694,3
6,47,18,29.16175,80.28038,6.715277,3
24,44,17,29.85969,80.035,6.666381,3
25,59,19,29.06631,83.68692,6.62663,3
32,56,21,27.38539,88.66664,6.702772,3
8,45,18,27.93035,85.42059,7.011031,3
19,39,17,29.28086,81.80092,6.890156,3
39,37,15,28.99731,83.78912,6.821747,3
33,37,19,27.92679,86.55432,7.18319,3
26,54,17,28.54741,88.95705,6.272588,3
21,51,15,29.36488,89.1887,6.679127,3
22,54,20,28.5615,83.63802,6.689825,3
29,45,16,28.43683,87.91333,6.583382,3
4,40,21,28.79728,80.45744,6.725551,3
10,37,22,28.72753,89.1276,7.069748,3
4,44,19,27.9564,83.52706,6.921994,3
20,45,17,28.17459,83.69659,6.770955,3
23,45,23,28.77654,86.69134,6.98313,3
25,48,21,28.4381,83.48991,6.267684,3
91,94,46,29.36792,76.249,6.149934,4
105,95,50,27.33369,83.67675,5.849076,4
108,92,53,27.40054,82.96221,6.2768,4
86,76,54,29.31591,80.11586,5.926825,4
80,77,49,26.05433,79.39655,5.519088,4
93,94,53,25.86632,84.42379,6.079179,4
90,92,55,27.00932,80.18547,6.134656,4
108,89,53,29.55055,78.06763,5.808498,4
108,88,55,26.28846,83.39004,5.891458,4
105,77,52,29.16227,76.16152,5.816622,4
118,88,52,28.65004,82.68753,5.843163,4
101,87,54,29.07311,76.50045,6.376757,4
95,75,50,28.08166,75.2643,5.623616,4
106,85,53,27.19946,78.80861,5.915055,4
86,95,49,28.05484,78.04603,6.458715,4
83,79,55,25.14748,83.34688,5.565029,4
85,95,47,25.94019,78.34221,6.211833,4
109,79,45,27.66753,79.68543,6.490074,4
100,76,45,25.56703,75.94068,5.590236,4
117,86,48,28.69562,82.54196,6.225225,4
114,94,53,26.33545,76.8532,6.190757,4
110,78,50,25.9373,78.89864,5.915569,4
94,70,48,25.13687,84.88394,6.195152,4
80,71,47,27.50528,80.79784,6.156373,4
114,79,51,26.21009,82.34429,6.313197,4
88,78,45,29.10403,79.19589,6.32427,4
112,73,48,29.24406,77.32017,5.707489,4
117,76,47,25.56202,77.38229,6.119216,4
111,87,48,26.39855,81.36029,5.571401,4
89,83,47,28.09578,77.79587,5.631272,4
93,91,47,27.84768,83.31111,6.101242,4
92,81,52,27.39342,81.46548,6.438137,4
105,74,45,25.14518,81.38204,6.098369,4
102,71,48,28.65456,79.28694,5.695268,4
94,91,51,29.16093,76.67484,5.618094,4
116,71,47,27.57278,82.06389,6.435786,4
117,79,49,25.4091,82.36208,6.176644,4
119,72,55,25.9907,83.33983,6.220644,4
99,73,53,26.29039,81.06004,5.871702,4
91,84,52,29.14827,78.71025,6.390742,4
80,90,47,26.59744,79.35899,6.210845,4
101,70,48,25.36059,75.03193,6.012697,4
108,89,53,29.12037,80.18081,5.90877,4
100,80,52,27.53911,77.2563,6.049802,4
109,91,53,29.66727,83.51014,6.010096,4
82,78,46,25.05802,84.97324,5.738679,4
106,70,55,25.86825,78.524,5.740555,4
90,86,52,25.85037,81.9558,5.79326,4
83,95,50,26.51682,77.79914,5.509471,4
119,90,48,28.66725,79.59243,5.986442,4
107,72,45,28.14939,81.54449,5.790768,4
116,81,55,26.42313,83.6995,5.915546,4
101,75,50,26.59386,81.4074,6.242528,4
93,81,50,27.71822,76.57853,6.036079,4
95,75,45,28.98333,82.95958,5.829899,4
107,71,55,29.42018,83.96754,6.088064,4
83,94,47,27.39872,81.10523,6.469371,4
102,73,54,26.40202,84.41008,5.720727,4
86,79,45,27.81251,82.69285,5.807664,4
117,86,53,25.1964,83.5583,5.703382,4
111,79,53,28.31193,75.77364,6.165001,4
95,74,50,25.90113,80.47153,6.002482,4
91,75,55,27.48613,76.1124,6.212369,4
93,83,46,29.38254,83.50424,5.765309,4
92,85,51,29.22119,81.08184,5.740765,4
104,80,54,27.09062,81.33507,5.879119,4
103,72,51,26.12643,81.81365,6.099479,4
92,75,45,29.01208,77.95193,5.674403,4
93,85,49,27.96799,79.28626,5.694244,4
120,87,52,28.07645,76.05522,5.905495,4
108,72,46,25.16278,84.97849,6.110845,4
105,88,54,25.7875,84.51194,6.020445,4
98,79,50,25.3412,84.47321,6.435917,4
111,88,55,29.44795,78.34972,5.505394,4
97,74,45,26.47523,78.51834,5.67772,4
95,82,48,27.3949,83.31172,5.719015,4
89,91,55,25.08347,80.26173,6.275572,4
89,85,55,26.67198,76.48542,6.275385,4
118,88,51,25.44926,79.49222,6.201912,4
101,92,45,28.22777,80.64304,5.758054,4
99,92,47,28.12795,77.48247,6.323934,4
82,77,46,28.94705,82.1889,5.901101,4
90,86,55,27.96237,84.15404,5.644487,4
95,88,52,28.00316,78.90086,6.235462,4
104,73,46,29.14009,80.11902,6.282362,4
102,73,52,27.91221,83.36308,6.356091,4
100,74,52,25.43481,81.53978,5.837258,4
94,89,48,28.55981,84.51602,5.653438,4
99,70,46,26.59581,82.99557,5.72747,4
112,87,48,27.19712,77.39706,6.200111,4
117,82,45,25.29392,79.29122,5.614471,4
96,86,51,29.90889,76.98741,6.25737,4
113,85,45,27.94972,76.63713,6.037431,4
105,93,46,25.01018,78.76261,5.760458,4
85,89,51,29.21145,84.7019,6.158164,4
108,94,47,27.35912,84.54625,6.387431,4
92,81,52,28.01068,76.52808,5.891414,4
110,71,54,28.67209,82.20794,5.725419,4
82,75,55,27.34585,78.48738,6.28107,4
117,81,53,29.50705,78.20586,5.507642,4
2,40,27,29.7377,47.54885,5.954627,5
39,24,31,33.55696,53.7298,4.757115,5
21,26,27,27.00316,47.67525,5.699587,5
25,22,25,33.5615,45.53557,5.977414,5
0,21,32,35.89856,54.25964,6.430139,5
20,19,35,34.1772,50.62162,6.113935,5
19,21,34,30.01593,53.19212,5.074273,5
18,17,31,31.74592,45.16128,5.667508,5
11,36,33,35.9901,52.2278,5.978634,5
30,28,30,31.86641,52.19332,5.064613,5
18,19,27,27.75519,52.34606,4.772386,5
23,23,27,34.72413,51.42718,5.161149,5
37,30,34,27.53908,53.6355,6.797779,5
11,27,30,27.69638,48.56225,6.394743,5
12,19,31,27.25373,52.6632,5.566704,5
3,28,33,30.33724,48.88705,5.75505,5
37,38,32,31.85745,45.53106,5.417341,5
26,37,30,35.39986,49.45963,6.166174,5
14,18,30,29.80747,52.13798,5.191265,5
40,16,35,34.16439,54.16482,4.95474,5
4,20,25,28.9327,47.94054,5.664587,5
36,25,33,27.98393,53.33019,5.548585,5
30,17,31,31.20478,54.49961,6.804437,5
28,37,28,32.1341,50.52559,6.09787,5
38,15,30,28.91862,48.13975,5.075505,5
12,37,30,31.09779,47.41197,4.546466,5
38,19,31,34.73824,49.08864,5.855119,5
8,33,29,29.9808,49.48613,6.442393,5
15,27,28,33.80399,46.12866,4.507524,5
34,16,25,30.07203,50.96041,6.107296,5
11,36,31,27.92063,51.77966,6.475449,5
33,29,34,31.40949,49.21729,6.83298,5
12,31,26,35.78777,51.9419,5.395276,5
12,34,28,33.3614,45.02236,6.135269,5
5,16,31,35.96055,48.69678,4.555689,5
1,30,29,28.33333,51.39587,6.434198,5
16,35,31,32.27652,50.19369,5.316876,5
35,18,26,31.9949,50.84881,5.279389,5
4,40,26,27.58259,48.56916,6.720042,5
9,29,34,29.38472,45.88745,5.727423,5
2,38,33,32.38698,53.23282,4.691396,5
26,32,32,30.91471,49.92964,6.810186,5
34,38,31,35.37776,45.5811,6.454045,5
5,32,33,32.32362,52.58968,5.842764,5
31,29,26,28.22373,47.40519,5.024125,5
34,34,35,27.27433,47.16808,6.422711,5
36,19,32,27.10711,50.70881,4.94295,5
7,17,26,34.89227,48.75613,6.414527,5
38,15,27,33.74627,48.50388,6.777788,5
5,19,25,27.35111,54.43945,6.441328,5
37,36,26,32.893,52.61324,4.650536,5
21,31,32,35.38599,51.42664,5.254532,5
37,36,27,27.55297,47.90859,5.910635,5
23,23,30,32.82141,47.45554,4.755274,5
36,26,26,30.17294,51.08459,6.81463,5
24,33,35,29.26383,54.82258,5.342866,5
26,18,30,32.06097,51.08494,6.336235,5
22,17,26,28.69818,47.71876,4.754435,5
11,34,32,29.14305,49.40983,6.831707,5
29,35,28,28.34716,53.53903,6.967418,5
22,28,26,27.67256,45.41692,4.947683,5
23,24,32,28.12181,46.16889,5.63062,5
1,35,34,30.79376,46.69537,6.273398,5
2,24,34,28.89409,54.8075,6.472775,5
39,37,25,33.33025,45.61144,6.953247,5
15,36,27,27.78912,53.96887,5.64371,5
3,18,31,31.65333,48.20663,6.392314,5
8,38,32,29.75151,46.73723,4.981817,5
33,31,34,31.32996,50.22288,5.421265,5
14,29,32,35.63627,48.97048,6.94252,5
18,20,26,31.66525,51.98595,5.435841,5
9,21,32,32.26935,53.56093,5.870116,5
20,30,27,27.81006,51.59445,4.749104,5
9,38,25,34.58561,50.34035,5.497947,5
26,24,34,31.27181,52.2381,6.811291,5
31,36,29,33.9368,52.7217,6.460543,5
14,18,35,31.09154,47.02058,4.791147,5
40,16,35,31.89356,49.0245,6.484152,5
28,27,34,32.45465,50.69694,6.526654,5
0,17,30,35.47478,47.97231,6.279134,5
1,29,29,27.32961,49.30347,6.052026,5
2,36,31,30.90225,49.95955,5.731719,5
12,27,26,29.09382,45.56611,5.323072,5
7,28,35,30.02086,46.78394,4.669108,5
0,36,26,34.13072,51.25786,5.101206,5
26,35,31,33.4462,53.0598,5.339557,5
27,21,30,35.39155,52.48823,5.061082,5
22,38,31,31.53356,53.06009,5.821106,5
22,18,31,30.76455,47.93791,5.956027,5
28,23,28,30.01821,50.09832,5.676033,5
7,31,27,31.32864,47.5932,6.524114,5
29,34,26,33.88005,54.39416,6.273954,5
8,37,33,28.07803,54.96405,6.128168,5
39,16,27,35.53845,52.94642,4.934965,5
40,24,25,28.70595,50.4403,5.445008,5
19,38,26,31.48452,48.77926,4.525722,5
21,21,30,27.69819,51.41593,5.403908,5
22,18,33,30.41236,52.48101,6.621624,5
31,20,30,32.17752,54.01353,6.207496,5
18,26,31,32.61126,47.74916,5.418475,5
24,130,195,29.99677,81.54157,6.112306,6
13,144,204,30.72804,82.42614,6.092242,6
22,123,205,32.44578,83.88505,5.896343,6
36,125,196,37.46567,80.65969,6.155261,6
24,131,196,22.03296,83.74373,5.732454,6
2,123,198,39.64852,82.2108,6.253035,6
35,140,197,16.77557,82.75242,6.106191,6
11,122,195,12.14191,83.56812,5.647202,6
6,123,203,12.7568,81.62497,6.13031,6
17,134,204,39.04072,80.18393,6.499605,6
25,130,197,39.70772,82.68593,5.554832,6
27,145,205,9.46796,82.29335,5.800243,6
9,122,201,29.58748,80.91934,5.570291,6
16,139,203,17.82804,80.96093,6.275641,6
32,141,204,8.825675,82.89754,5.536646,6
22,138,195,27.83487,83.51445,6.208197,6
31,144,202,11.02105,80.55557,5.870601,6
3,136,205,17.58629,80.84807,6.334771,6
28,122,197,19.89364,82.73366,5.856575,6
4,136,204,29.93708,81.77713,5.898944,6
39,145,201,36.73127,80.58932,5.7756,6
38,132,197,20.42095,81.54185,5.931102,6
36,133,198,25.5194,83.98352,6.228645,6
25,121,201,30.50735,82.71776,5.594241,6
15,125,199,18.42699,80.55626,5.56923,6
24,140,205,12.08702,83.59399,5.932029,6
13,132,203,23.60115,82.48337,6.423217,6
5,126,197,12.8,81.20876,6.417501,6
30,120,200,38.06099,82.2473,6.234904,6
23,142,197,39.06556,82.03813,6.000574,6
26,135,203,33.78373,81.16314,5.685103,6
7,126,203,16.76202,82.00336,5.66214,6
32,139,198,35.89308,82.66851,6.358187,6
9,141,202,21.01245,81.17932,6.119495,6
20,142,196,10.89876,80.01639,6.207601,6
32,129,201,16.36252,83.00472,6.487546,6
3,134,199,20.2837,81.32236,5.817178,6
38,138,204,25.11108,83.25448,6.32548,6
14,131,198,33.46412,83.86743,5.562791,6
20,122,204,11.79765,80.86325,6.48737,6
40,126,201,11.36301,80.031,6.116983,6
36,128,204,25.23542,80.68701,5.695793,6
11,132,197,15.99051,81.23967,5.734317,6
0,137,195,22.4359,80.18612,6.3295,6
19,123,200,34.76086,81.03545,6.167014,6
31,136,197,31.11047,83.34011,5.653776,6
4,134,200,28.57829,80.95629,5.840256,6
39,139,201,41.18665,81.01783,5.539981,6
8,127,196,27.02766,83.17094,5.833302,6
39,138,203,21.19339,82.33098,6.399434,6
32,120,204,10.38005,83.44518,6.138959,6
12,142,203,31.3116,82.56407,5.972851,6
8,133,195,20.46658,80.97598,6.45608,6
8,139,199,29.36948,81.53996,6.336427,6
21,134,202,10.72302,80.02131,6.42542,6
40,140,195,14.97847,80.4998,6.294396,6
39,127,202,15.32467,81.67216,6.477768,6
19,120,195,18.73932,81.12109,5.931538,6
21,139,201,19.36426,83.36094,5.980599,6
17,136,195,41.20734,81.61051,6.389783,6
33,139,203,33.34214,82.51035,5.693287,6
22,133,201,23.81996,80.12212,6.002996,6
32,130,196,40.66012,81.24996,6.37296,6
37,135,205,11.82768,80.28272,5.510925,6
15,140,195,13.28504,83.54194,5.699453,6
39,132,196,35.83089,83.3256,5.778594,6
40,121,199,26.1816,81.03886,6.315586,6
40,132,202,24.57558,80.70696,5.971813,6
29,142,203,29.67229,83.71499,5.891196,6
32,121,199,39.37103,81.25354,6.129813,6
6,140,205,17.66558,82.92903,6.313086,6
8,120,196,24.06679,82.66397,6.053663,6
34,133,202,15.31413,80.09711,5.804799,6
35,135,199,21.77467,80.54943,6.40072,6
16,145,199,26.91625,80.76839,5.953966,6
8,136,201,41.65603,82.22118,5.609256,6
25,129,195,17.98668,81.17712,5.777271,6
16,130,201,29.12034,82.79093,5.682395,6
39,129,203,34.38922,83.18393,5.863997,6
38,135,203,41.36106,82.79783,6.444373,6
33,120,205,35.12158,82.26891,5.550832,6
35,125,204,19.64918,80.15216,6.107742,6
1,132,200,16.27853,82.9427,5.620746,6
39,140,203,21.11904,80.63399,6.349876,6
28,145,202,19.20777,82.90428,6.484323,6
6,128,200,25.96308,82.57814,5.838748,6
6,139,199,25.67385,81.62121,6.290998,6
29,122,196,41.94866,81.15595,5.638328,6
37,144,197,11.18994,80.80843,6.415556,6
38,120,197,17.54383,82.94703,6.323723,6
38,141,198,13.0581,80.28298,5.75701,6
14,121,203,9.724458,83.74766,6.158689,6
6,125,204,27.92005,82.93262,5.73354,6
32,138,197,9.535586,80.73113,5.908724,6
11,124,204,13.42989,80.06634,6.361141,6
23,138,200,9.851243,80.22632,5.965379,6
40,143,201,24.97256,82.72829,6.476758,6
6,142,202,27.23708,82.94573,6.224543,6
37,124,195,18.70679,83.47953,6.209928,6
35,134,204,9.949929,82.55139,5.841138,6
119,25,51,26.4733,80.92254,6.283818,7
119,19,55,25.1878,83.44622,6.818261,7
105,30,50,25.29955,81.77528,6.376201,7
114,8,50,24.74631,88.30866,6.581588,7
93,22,52,26.58741,81.32563,6.93274,7
80,26,55,24.53443,88.98927,6.140099,7
85,27,45,26.07138,88.72857,6.467096,7
